Info 0    [10:53:48.26] Starting TS Server
Info 134  [10:54:45.795] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 135  [10:54:45.802] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: true Elapsed: 7ms
Info 136  [10:54:45.802] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 137  [10:54:46.321] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 138  [10:54:46.329] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: true Elapsed: 8ms
Info 139  [10:54:46.329] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 140  [10:54:46.834] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 141  [10:54:46.839] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: true Elapsed: 5ms
Info 142  [10:54:46.839] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 143  [10:54:47.117] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 144  [10:54:47.122] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: true Elapsed: 4ms
Info 145  [10:54:47.122] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 146  [10:54:47.538] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 147  [10:54:47.544] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: true Elapsed: 6ms
Info 148  [10:54:47.544] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 149  [10:54:49.54] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 150  [10:54:49.59] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: true Elapsed: 5ms
Info 151  [10:54:49.59] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 152  [10:54:49.410] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 153  [10:54:49.411] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false Elapsed: 1ms
Info 154  [10:54:49.411] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 155  [10:54:49.668] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 156  [10:54:49.669] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false Elapsed: 1ms
Info 157  [10:54:49.669] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 158  [10:54:51.242] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 159  [10:54:51.243] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false Elapsed: 1ms
Info 160  [10:54:51.243] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 161  [10:54:51.708] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 162  [10:54:51.710] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false Elapsed: 2ms
Info 163  [10:54:51.710] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 164  [10:54:52.442] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 165  [10:54:52.443] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false Elapsed: 1ms
Info 166  [10:54:52.443] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 167  [10:54:52.847] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 168  [10:54:52.849] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false Elapsed: 2ms
Info 169  [10:54:52.849] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 170  [10:54:53.703] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 171  [10:54:53.704] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false Elapsed: 1ms
Info 172  [10:54:53.704] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 173  [10:54:53.707] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 174  [10:54:53.708] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 56 structureChanged: false Elapsed: 1ms
Info 175  [10:54:53.708] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 176  [10:54:54.200] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 177  [10:54:54.201] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 57 structureChanged: false Elapsed: 1ms
Info 178  [10:54:54.201] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 179  [10:54:54.480] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 180  [10:54:54.481] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 58 structureChanged: false Elapsed: 1ms
Info 181  [10:54:54.481] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 182  [10:54:54.722] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 183  [10:54:54.724] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 59 structureChanged: false Elapsed: 2ms
Info 184  [10:54:54.724] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 185  [10:54:55.276] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 186  [10:54:55.277] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 60 structureChanged: false Elapsed: 1ms
Info 187  [10:54:55.277] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 188  [10:54:55.787] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 189  [10:54:55.788] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 61 structureChanged: false Elapsed: 1ms
Info 190  [10:54:55.788] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 191  [10:54:55.998] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 192  [10:54:55.999] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 62 structureChanged: false Elapsed: 1ms
Info 193  [10:54:55.999] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 194  [10:54:56.897] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [10:54:56.898] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 63 structureChanged: false Elapsed: 1ms
Info 196  [10:54:56.898] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 197  [10:54:57.154] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 198  [10:54:57.155] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 64 structureChanged: false Elapsed: 1ms
Info 199  [10:54:57.155] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 200  [10:54:57.573] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 201  [10:54:57.574] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 65 structureChanged: false Elapsed: 1ms
Info 202  [10:54:57.574] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 203  [10:55:2.761] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 204  [10:55:2.763] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 66 structureChanged: false Elapsed: 2ms
Info 205  [10:55:2.763] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 206  [10:55:3.94] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 207  [10:55:3.95] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 67 structureChanged: false Elapsed: 1ms
Info 208  [10:55:3.95] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 209  [10:55:3.739] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 210  [10:55:3.740] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 68 structureChanged: false Elapsed: 1ms
Info 211  [10:55:3.740] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 212  [10:55:4.173] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 213  [10:55:4.181] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 69 structureChanged: false Elapsed: 8ms
Info 214  [10:55:4.181] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 215  [10:55:5.971] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 216  [10:55:5.973] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 70 structureChanged: false Elapsed: 2ms
Info 217  [10:55:5.973] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 218  [10:55:6.571] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 219  [10:55:6.573] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 71 structureChanged: false Elapsed: 2ms
Info 220  [10:55:6.573] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 221  [10:55:7.411] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 222  [10:55:7.412] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 72 structureChanged: false Elapsed: 1ms
Info 223  [10:55:7.412] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 224  [10:55:7.681] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 225  [10:55:7.682] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 73 structureChanged: false Elapsed: 1ms
Info 226  [10:55:7.682] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 227  [10:55:8.530] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 228  [10:55:8.531] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 74 structureChanged: false Elapsed: 1ms
Info 229  [10:55:8.531] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 230  [10:55:35.750] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 231  [10:55:35.751] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 75 structureChanged: false Elapsed: 1ms
Info 232  [10:55:35.751] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 233  [10:55:37.171] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 234  [10:55:37.172] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 76 structureChanged: false Elapsed: 1ms
Info 235  [10:55:37.172] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 236  [10:55:37.595] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 237  [10:55:37.597] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 77 structureChanged: false Elapsed: 2ms
Info 238  [10:55:37.597] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 239  [10:55:38.71] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 240  [10:55:38.72] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 78 structureChanged: false Elapsed: 1ms
Info 241  [10:55:38.72] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 242  [10:55:38.688] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 243  [10:55:38.690] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 79 structureChanged: false Elapsed: 2ms
Info 244  [10:55:38.690] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 245  [10:55:38.947] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 246  [10:55:38.948] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 80 structureChanged: false Elapsed: 1ms
Info 247  [10:55:38.948] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 248  [10:55:39.682] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 249  [10:55:39.683] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 81 structureChanged: false Elapsed: 1ms
Info 250  [10:55:39.683] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 251  [10:55:40.594] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 252  [10:55:40.595] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 82 structureChanged: false Elapsed: 1ms
Info 253  [10:55:40.595] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 254  [10:55:40.822] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 255  [10:55:40.823] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 83 structureChanged: false Elapsed: 1ms
Info 256  [10:55:40.823] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 257  [10:55:41.314] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 258  [10:55:41.316] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 84 structureChanged: false Elapsed: 2ms
Info 259  [10:55:41.316] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 260  [10:55:41.852] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 261  [10:55:41.853] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 85 structureChanged: false Elapsed: 1ms
Info 262  [10:55:41.853] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 263  [10:55:43.789] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 264  [10:55:43.791] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 86 structureChanged: false Elapsed: 1ms
Info 265  [10:55:43.791] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 266  [10:55:44.586] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 267  [10:55:44.588] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 87 structureChanged: false Elapsed: 2ms
Info 268  [10:55:44.588] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 269  [10:55:46.742] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 270  [10:55:46.743] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 88 structureChanged: false Elapsed: 1ms
Info 271  [10:55:46.743] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 272  [10:55:47.47] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 273  [10:55:47.51] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 89 structureChanged: false Elapsed: 4ms
Info 274  [10:55:47.51] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 275  [10:55:48.801] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
